ZJetMadgraph
             variableName            min1            max1            min2            max2             Npass          errNpass          EffRel       errEffRel          EffAbs       errEffAbs
                    nocut               -               -               -               -    101193600.0000        0.0000e+00          1.0000      0.0000e+00          1.0000      0.0000e+00
                     skim               -               -               -               -     65212505.0417        46504.5308          0.6444      4.5956e-04          0.6444      4.5956e-04
                PassBPTX0          0.0000          1.0000               -               -     65212505.0417        46504.5308          1.0000      1.0085e-03          0.6444      4.5956e-04
             PassPhysDecl            -inf            +inf               -               -     65212505.0417        46504.5308          1.0000      1.0085e-03          0.6444      4.5956e-04
         PassBeamScraping          0.0000          1.0000               -               -     65212411.7690        46504.5308          1.0000      1.0085e-03          0.6444      4.5956e-04
        PassPrimaryVertex          0.0000          1.0000               -               -     65075114.2338        46543.9963          0.9979      1.0079e-03          0.6431      4.5995e-04
                  PassHLT            -inf            +inf               -               -     65075114.2338        46543.9963          1.0000      1.0115e-03          0.6431      4.5995e-04
                 nEle_all            -inf            +inf               -               -     65075114.2338        46543.9963          1.0000      1.0115e-03          0.6431      4.5995e-04
               nEle_PtCut            -inf            +inf               -               -     65075114.2338        46543.9963          1.0000      1.0115e-03          0.6431      4.5995e-04
 nEle_PtCut_IDISO_noOvrlp          1.0000            +inf               -               -      8671757.0949        27193.7561          0.1333      4.2861e-04      8.5695e-02      2.6873e-04
   Pt1stEle_IDISO_NoOvrlp         30.0000            +inf               -               -      8671757.0949        27193.7561          1.0000      4.4348e-03      8.5695e-02      2.6873e-04
  Eta1stEle_IDISO_NoOvrlp            -inf            +inf               -               -      8671757.0949        27193.7561          1.0000      4.4348e-03      8.5695e-02      2.6873e-04
 mEta1stEle_IDISO_NoOvrlp            -inf          2.5000               -               -      8664481.8179        27183.6368          0.9992      4.4321e-03      8.5623e-02      2.6863e-04
   Pt2ndEle_IDISO_NoOvrlp         30.0000            +inf               -               -      8664481.8179        27183.6368          1.0000      4.4369e-03      8.5623e-02      2.6863e-04
