WJetAlpgen
   variableName            min1            max1            min2            max2             Npass          errNpass          EffRel       errEffRel          EffAbs       errEffAbs
          nocut               -               -               -               -       23192805.92              0.00         1.0e+00         0.0e+00         1.0e+00         0.0e+00
           skim               -               -               -               -       10997295.70           5290.82         4.7e-01         2.3e-04         4.7e-01         2.3e-04
      PassBPTX0          0.0000          1.0000               -               -       10997295.70           5290.82         1.0e+00         6.8e-04         4.7e-01         2.3e-04
   PassPhysDecl            -inf            +inf               -               -       10997295.70           5290.82         1.0e+00         6.8e-04         4.7e-01         2.3e-04
PassBeamScraping          0.0000          1.0000               -               -       10997279.98           5290.82         1.0e+00         6.8e-04         4.7e-01         2.3e-04
PassPrimaryVertex          0.0000          1.0000               -               -       10958777.63           5289.24         1.0e+00         6.8e-04         4.7e-01         2.3e-04
PassHBHENoiseFilter            -inf            +inf               -               -       10958777.63           5289.24         1.0e+00         6.8e-04         4.7e-01         2.3e-04
        PassHLT            -inf            +inf               -               -       10958777.63           5289.24         1.0e+00         6.8e-04         4.7e-01         2.3e-04
       nEle_all            -inf            +inf               -               -       10958777.63           5289.24         1.0e+00         6.8e-04         4.7e-01         2.3e-04
     nEle_PtCut            -inf            +inf               -               -       10958777.63           5289.24         1.0e+00         6.8e-04         4.7e-01         2.3e-04
nEle_PtCut_IDISO_noOvrlp          1.0000            +inf               -               -            219.54             27.10         2.0e-05         2.5e-06         9.5e-06         1.2e-06
Pt1stEle_IDISO_NoOvrlp         30.0000            +inf               -               -            219.54             27.10         1.0e+00         1.7e-01         9.5e-06         1.2e-06
Eta1stEle_IDISO_NoOvrlp            -inf            +inf               -               -            219.54             27.10         1.0e+00         1.7e-01         9.5e-06         1.2e-06
mEta1stEle_IDISO_NoOvrlp            -inf          2.5000               -               -            219.54             27.10         1.0e+00         1.7e-01         9.5e-06         1.2e-06
Pt2ndEle_IDISO_NoOvrlp         30.0000            +inf               -               -            219.54             27.10         1.0e+00         1.7e-01         9.5e-06         1.2e-06
Eta2ndEle_IDISO_NoOvrlp            -inf            +inf               -               -            219.54             27.10         1.0e+00         1.7e-01         9.5e-06         1.2e-06
mEta2ndEle_IDISO_NoOvrlp            -inf          2.5000               -               -            219.54             27.10         1.0e+00         1.7e-01         9.5e-06         1.2e-06
maxMEtaEles_IDISO_NoOvrl            -inf            +inf               -               -            219.54             27.10         1.0e+00         1.7e-01         9.5e-06         1.2e-06
        Mee_PAS            -inf            +inf               -               -            219.54             27.10         1.0e+00         1.7e-01         9.5e-06         1.2e-06
      sTele_PAS            -inf            +inf               -               -            219.54             27.10         1.0e+00         1.7e-01         9.5e-06         1.2e-06
       nJet_PAS            -inf            +inf               -               -            219.54             27.10         1.0e+00         1.7e-01         9.5e-06         1.2e-06
       nJet_all            -inf            +inf               -               -            219.54             27.10         1.0e+00         1.7e-01         9.5e-06         1.2e-06
     nJet_PtCut            -inf            +inf               -               -            219.54             27.10         1.0e+00         1.7e-01         9.5e-06         1.2e-06
nJet_PtCut_noOvrlp            -inf            +inf               -               -            219.54             27.10         1.0e+00         1.7e-01         9.5e-06         1.2e-06
nJet_PtCut_noOvrlp_ID          1.0000            +inf               -               -             25.70              4.42         1.2e-01         2.5e-02         1.1e-06         1.9e-07
Pt1stJet_noOvrlp_ID         30.0000            +inf               -               -             25.70              4.42         1.0e+00         2.4e-01         1.1e-06         1.9e-07
Eta1stJet_noOvrlp_ID            -inf            +inf               -               -             25.70              4.42         1.0e+00         2.4e-01         1.1e-06         1.9e-07
mEta1stJet_noOvrlp_ID            -inf          3.0000               -               -             24.78              4.32         9.6e-01         2.4e-01         1.1e-06         1.9e-07
Pt2ndJet_noOvrlp_ID         30.0000            +inf               -               -             24.78              4.32         1.0e+00         2.5e-01         1.1e-06         1.9e-07
Eta2ndJet_noOvrlp_ID            -inf            +inf               -               -             24.78              4.32         1.0e+00         2.5e-01         1.1e-06         1.9e-07
mEta2ndJet_noOvrlp_ID            -inf          3.0000               -               -             24.34              4.30         9.8e-01         2.4e-01         1.0e-06         1.9e-07
maxMEtaJets_noOvrlp_ID            -inf            +inf               -               -             24.34              4.30         1.0e+00         2.5e-01         1.0e-06         1.9e-07
minDRej_selecPairs          0.7000            +inf               -               -             23.85              4.27         9.8e-01         2.5e-01         1.0e-06         1.8e-07
minDRej_unselPairs          0.7000            +inf               -               -             23.40              4.25         9.8e-01         2.5e-01         1.0e-06         1.8e-07
   Pt1stJet_PAS            -inf            +inf               -               -             23.40              4.25         1.0e+00         2.6e-01         1.0e-06         1.8e-07
  Eta1stJet_PAS            -inf            +inf               -               -             23.40              4.25         1.0e+00         2.6e-01         1.0e-06         1.8e-07
   Pt2ndJet_PAS            -inf            +inf               -               -             23.40              4.25         1.0e+00         2.6e-01         1.0e-06         1.8e-07
  Eta2ndJet_PAS            -inf            +inf               -               -             23.40              4.25         1.0e+00         2.6e-01         1.0e-06         1.8e-07
         sT_PAS            -inf            +inf               -               -             23.40              4.25         1.0e+00         2.6e-01         1.0e-06         1.8e-07
Mej_1stPair_PAS            -inf            +inf               -               -             23.40              4.25         1.0e+00         2.6e-01         1.0e-06         1.8e-07
Mej_2ndPair_PAS            -inf            +inf               -               -             23.40              4.25         1.0e+00         2.6e-01         1.0e-06         1.8e-07
            Mee        100.0000            +inf               -               -             11.19              2.92         4.8e-01         1.5e-01         4.8e-07         1.3e-07
             sT        280.0000            +inf               -               -              4.50              1.72         4.0e-01         1.9e-01         1.9e-07         7.4e-08
   minDeltaR_ej            -inf            +inf               -               -              4.50              1.72         1.0e+00         5.4e-01         1.9e-07         7.4e-08
   maxDeltaR_ej            -inf            +inf               -               -              4.50              1.72         1.0e+00         5.4e-01         1.9e-07         7.4e-08
    Mej_1stPair            -inf            +inf               -               -              4.50              1.72         1.0e+00         5.4e-01         1.9e-07         7.4e-08
    Mej_2ndPair            -inf            +inf               -               -              4.50              1.72         1.0e+00         5.4e-01         1.9e-07         7.4e-08


WW
   variableName            min1            max1            min2            max2             Npass          errNpass          EffRel       errEffRel          EffAbs       errEffAbs
          nocut               -               -               -               -          35555.84              0.00         1.0e+00         0.0e+00         1.0e+00         0.0e+00
           skim               -               -               -               -          16227.67             50.50         4.6e-01         1.4e-03         4.6e-01         1.4e-03
      PassBPTX0          0.0000          1.0000               -               -          16227.67             50.50         1.0e+00         4.4e-03         4.6e-01         1.4e-03
   PassPhysDecl            -inf            +inf               -               -          16227.67             50.50         1.0e+00         4.4e-03         4.6e-01         1.4e-03
PassBeamScraping          0.0000          1.0000               -               -          16227.67             50.50         1.0e+00         4.4e-03         4.6e-01         1.4e-03
PassPrimaryVertex          0.0000          1.0000               -               -          16218.99             50.50         1.0e+00         4.4e-03         4.6e-01         1.4e-03
PassHBHENoiseFilter            -inf            +inf               -               -          16218.99             50.50         1.0e+00         4.4e-03         4.6e-01         1.4e-03
        PassHLT            -inf            +inf               -               -          16218.99             50.50         1.0e+00         4.4e-03         4.6e-01         1.4e-03
