WJetAlpgen
   variableName            min1            max1            min2            max2             Npass          errNpass          EffRel       errEffRel          EffAbs       errEffAbs
          nocut               -               -               -               -          23192.80              0.00         1.0e+00         0.0e+00         1.0e+00         0.0e+00
           skim               -               -               -               -          10997.30              5.29         4.7e-01         2.3e-04         4.7e-01         2.3e-04
      PassBPTX0          0.0000          1.0000               -               -          10997.30              5.29         1.0e+00         6.8e-04         4.7e-01         2.3e-04
   PassPhysDecl            -inf            +inf               -               -          10997.30              5.29         1.0e+00         6.8e-04         4.7e-01         2.3e-04
PassBeamScraping          0.0000          1.0000               -               -          10997.28              5.29         1.0e+00         6.8e-04         4.7e-01         2.3e-04
PassPrimaryVertex          0.0000          1.0000               -               -          10958.78              5.29         1.0e+00         6.8e-04         4.7e-01         2.3e-04
PassHBHENoiseFilter            -inf            +inf               -               -          10958.78              5.29         1.0e+00         6.8e-04         4.7e-01         2.3e-04
        PassHLT            -inf            +inf               -               -          10958.78              5.29         1.0e+00         6.8e-04         4.7e-01         2.3e-04
       nEle_all            -inf            +inf               -               -          10958.78              5.29         1.0e+00         6.8e-04         4.7e-01         2.3e-04
     nEle_PtCut            -inf            +inf               -               -          10958.78              5.29         1.0e+00         6.8e-04         4.7e-01         2.3e-04
nEle_PtCut_IDISO_noOvrlp          1.0000            +inf               -               -              0.41              0.04         3.8e-05         3.5e-06         1.8e-05         1.6e-06
Pt1stEle_IDISO_NoOvrlp         25.0000            +inf               -               -              0.41              0.04         1.0e+00         1.3e-01         1.8e-05         1.6e-06
Eta1stEle_IDISO_NoOvrlp            -inf            +inf               -               -              0.41              0.04         1.0e+00         1.3e-01         1.8e-05         1.6e-06
mEta1stEle_IDISO_NoOvrlp            -inf          2.5000               -               -              0.41              0.04         1.0e+00         1.3e-01         1.8e-05         1.6e-06
Pt2ndEle_IDISO_NoOvrlp         25.0000            +inf               -               -              0.41              0.04         1.0e+00         1.3e-01         1.8e-05         1.6e-06
Eta2ndEle_IDISO_NoOvrlp            -inf            +inf               -               -              0.41              0.04         1.0e+00         1.3e-01         1.8e-05         1.6e-06
